DEC Region,Land Acquisition Category,County,Project Number,Project Name (Alias),Acres (Fee),Acres (Conservation Easement),Equivalent Stream Miles,Deed Vesting Date
1,PB,Suffolk,98.002,Manorville Pine Barrens,67.7,,,1995-07-03T00:00:00.000
1,PB,Suffolk,99.03,Brookhaven St. Pk. Add,5.796,,,1995-07-25T00:00:00.000
1,PB,Suffolk,99.02,Brookhaven St. Pk. Add,19.004,,,1995-07-25T00:00:00.000
1,PB,Suffolk,99.01,Brookhaven St. Pk. Add,68.628,,,1995-07-27T00:00:00.000
5,AFP/AFE,Essex,271.05,Lake Champlain Palisades,,400,,1995-07-28T00:00:00.000
6,TOJ,Oneida,140,Mohawk River Fishing Access,1.281,,,1995-08-14T00:00:00.000
1,PB,Suffolk,98.003,Manorville Pine Barrens,102,,,1995-08-14T00:00:00.000
6,PFR,Jefferson,72.02,Felts Mills Creek,,,0.064,1995-08-14T00:00:00.000
3,PFR,Dutchess,49.02,Shekomeko Creek,0.129,,0.071,1995-08-21T00:00:00.000
2,TWL,Richmond,12.04,Harbor Herons,5.43,,,1995-10-16T00:00:00.000
4,UA,Albany,16.025,Albany Pine Bush,100.8,,,1995-10-20T00:00:00.000
6,AFP,St Lawrence,149.05B,Raquette River Corridor,,12144.87,,1995-10-25T00:00:00.000
4,CFP,Greene,48.01,,177.54,,,1995-10-26T00:00:00.000
7,FWL,Cayuga,037.078A,Northern Montezuma,23.6,,,1995-11-02T00:00:00.000
2,TWL,Queens,3.01,Jamaica Bay,11.079,2.414,,1995-11-09T00:00:00.000
6,TOJ,Oneida,153,Sra Oneida # 7,55.32,,,1995-11-20T00:00:00.000
6,AFP,St Lawrence,149.05A,Raquette River Corridor,1578.17,,,1995-11-28T00:00:00.000
4,UA,Albany,16.031,Albany Pine Bush,2.72,,,1995-12-05T00:00:00.000
5,AFP/AFE,Hamilton,252.02,Canoe Carry East,377,,,1995-12-15T00:00:00.000
3,TWL,Westchester,9,Titus Mill Pond,7.7,,,1995-12-19T00:00:00.000
6,AFE,St Lawrence,118.01,Big Tupper Lake,52,,,1995-12-27T00:00:00.000
7,FWL,Cayuga,37.081,Northern Montezume,210,,,1995-12-29T00:00:00.000
4,PFR,Delaware,106.23,East Branch Delaware Riv.,11.42,,,1996-01-19T00:00:00.000
4,CFP,Greene,90,,104.73,,,1996-01-25T00:00:00.000
3,CFP,Ulster,273,Crawford Gift,3.15,,,1996-02-09T00:00:00.000
6,FWL,Oneida,93.1,Oriskany Flats Wma,102.3,,,1996-02-16T00:00:00.000
7,FWL,Cayuga,037.078B,Northern Montezuma,23.36,,,1996-02-20T00:00:00.000
6,EX,Jefferson,140B,,-14.98,,,1996-03-05T00:00:00.000
2,FWL,Richmond,17,Bloesser Pond Wetlands,3.629,,,1996-03-12T00:00:00.000
2,TWL,Richmond,14,Old Place Creek,8.37,,,1996-03-12T00:00:00.000
1,PB,Suffolk,97.07,Peconic East,11.52,,,1996-03-13T00:00:00.000
4,FWL,Albany,6.05,Black Creek Marsh,3.5,,,1996-03-18T00:00:00.000
9,PFR,Wyoming,2.03,East Koy Creek,,,0.1,1996-03-21T00:00:00.000
8,FWL,Wayne,33.083,Northern Montezuma,24.577,,,1996-03-22T00:00:00.000
8,FWL,Wayne,33.086,Northern Montezuma,79.096,,,1996-03-22T00:00:00.000
8,FWL,Wayne,33.078,Northern Montezuma,86.79,,,1996-03-22T00:00:00.000
