DEC Region,Land Acquisition Category,County,Project Number,Project Name (Alias),Acres (Fee),Acres (Conservation Easement),Equivalent Stream Miles,Deed Vesting Date
6,UA,Oneida,124.03,Rome Sand Plains,417.665,,,2000-03-01T00:00:00.000
3,TWL,Orange,23,Moodna Creek Marsh,60.231,,,2000-03-06T00:00:00.000
3,WH,Ulster,245,Rosendale Bat Cave,10.083,,,2000-03-10T00:00:00.000
5,AFP,Essex,417,Jane Gevirtz,53,,,2000-03-13T00:00:00.000
5,PFR,Washington,40.14,Battenkill,0.48,,,2000-03-16T00:00:00.000
1,PB,Suffolk,99.1,Brookhaven St. Pk. Add,8.12,,,2000-03-22T00:00:00.000
9,PFR,Cattaraugus,38.31,Ischua Creek,,,0.616,2000-03-24T00:00:00.000
3,PFR,Sullivan,106.02,Pine Kill,,,0.494,2000-03-30T00:00:00.000
9,PFR,Erie,10.03,Eighteen Mile Creek,,,0.04,2000-03-31T00:00:00.000
7,UA,Madison,063.011A,Riedl,3,,,2000-04-12T00:00:00.000
5,AFP,Clinton,136,,27,,,2000-04-13T00:00:00.000
9,FWL,Cattaraugus,97.12,Conewango Creek Wetlands,43,,,2000-04-20T00:00:00.000
6,UA,Oneida,124.22,Rome Sand Plains,8.07,,,2000-04-26T00:00:00.000
6,UA,Oneida,124.29,Rome Sand Plains,122.66,,,2000-04-26T00:00:00.000
2,FWL,Richmond,23,Arden Heights Woods,3.06,,,2000-04-27T00:00:00.000
8,PFR,Steuben,24.04,Mill Creek,,,0.057,2000-04-27T00:00:00.000
3,PFR,Ulster,108.69,Esopus Creek,,,0.009,2000-05-01T00:00:00.000
6,UA,Oneida,124.17,Rome Sand Plains,160,,,2000-05-03T00:00:00.000
1,PB,Suffolk,94.08,Brookhaven Kettleholes,0.06,,,2000-05-05T00:00:00.000
9,PFR,Cattaraugus,38.33,Ischua Creek,,,0.27,2000-05-08T00:00:00.000
1,PB,Suffolk,106.02,Long Island Pine Barrens,15.11,,,2000-05-12T00:00:00.000
6,PLA,Oneida,136A,Starr Hill,1,,,2000-05-17T00:00:00.000
4,FWL,Albany,6.21,Black Creek Marsh,71.79,,,2000-05-22T00:00:00.000
9,FWL,Chautauqua,60.1,Alder Bottom Wetlands,90.808,,,2000-05-26T00:00:00.000
4,CFP,Greene,104.04,,159.75,,,2000-05-30T00:00:00.000
9,TR,Chautauqua,72.02,Canadaway Creek Wma,4,,,2000-06-01T00:00:00.000
7,PLC,Cayuga,47,Sra Cayuga 2,10,,,2000-06-02T00:00:00.000
7,PLB,Oswego,100,Three Mile Bay,65,,,2000-06-06T00:00:00.000
9,PFR,Cattaraugus,82.1,Cattaraugus  Creek,,,0.833,2000-06-08T00:00:00.000
5,PFR,Saratoga,44.01,Kayaderosseras,0.05,,0.35,2000-06-09T00:00:00.000
1,PB,Suffolk,98.116,Manorville Pine Barrens,0.92,,,2000-06-12T00:00:00.000
8,FWL,Wayne,33.101,Northern Montezuma,195,,,2000-06-14T00:00:00.000
9,PFR,Allegany,62.03,California Hollow Brook,0.078,,0.08,2000-06-15T00:00:00.000
3,PFR,Sullivan,45.34,Little Beaverkill,,,0.038,2000-06-15T00:00:00.000
3,PFR,Sullivan,34.35,N Br Callicoon Creek,,,0.345,2000-06-15T00:00:00.000
5,WH,Saratoga,45.03,Wilton Wildlife Preserve,29.32,,,2000-06-29T00:00:00.000
5,WH,Saratoga,45.02,Wilton Wildlife Preserve,134.79,,,2000-06-29T00:00:00.000
6,UA,Oneida,124.43,Rome Sand Plains,123.61,,,2000-07-05T00:00:00.000
3,PFR,Sullivan,73.3,Neversink River,,,0.267,2000-07-07T00:00:00.000
6,WA,Jefferson,141,Perch River Wa,9.8,,,2000-07-17T00:00:00.000
6,FWL,Oneida,93.14,Oriskany Flats,37.58,,,2000-07-24T00:00:00.000
5,PLA,Washington,71,Sra Washington 4,525,,,2000-07-27T00:00:00.000
7,PLB,Oswego,73,Happy Valley Wma,27.06,,,2000-08-02T00:00:00.000
3,PFR,Sullivan,73.31,Neversink River,,,0.014,2000-08-08T00:00:00.000
8,PFR,Ontario,021A.01,Grimes Creek,,,0.175,2000-08-09T00:00:00.000
1,PB,Suffolk,98.142,Manorville Pine Barrens,2.75,,,2000-08-10T00:00:00.000
9,PLC,Allegany,64,,22,,,2000-08-11T00:00:00.000
4,CFP,Greene,122,Green Frog,71.6,,,2000-08-17T00:00:00.000
8,FWL,Seneca,11,Canoga Marsh,104.28,,,2000-08-17T00:00:00.000
7,PLC,Chenango,127,Sra Chenango 2,4.08,,,2000-08-22T00:00:00.000
9,PLC,Cattaraugus,108,Sra Cattaraugus 1,29,,,2000-08-25T00:00:00.000
3,WA,Ulster,281,Rondout Creek Bls,0.754,,,2000-09-14T00:00:00.000
1,PB,Suffolk,98.024,Manorville Pine Barrens,0.92,,,2000-09-18T00:00:00.000
8,PLC,Livingston,40,Conesus Inlet,50.643,,,2000-10-19T00:00:00.000
8,PFR,Monroe,009A.01,Irondequoit Creek,,,0.244,2000-10-25T00:00:00.000
3,PLC,Sullivan,109,Villlage Landfill,36.7,,,2000-10-27T00:00:00.000
9,WH,Allegany,63,Alma Pond,92.5,,,2000-10-27T00:00:00.000
3,E-TR,Ulster,271.01,Shawangunk Ridge,1285.6,,,2000-10-27T00:00:00.000
3,PFR,Sullivan,73.34,Neversink River,,,0.033,2000-10-27T00:00:00.000
5,AFP,Warren,181,Rogers Rock,40.6,,,2000-10-30T00:00:00.000
4,PFR,Rensselaer,23.02,Poestenkill,0.08,,0.92,2000-11-01T00:00:00.000
6,AC,Lewis,203.02,,211.1,,,2000-11-09T00:00:00.000
5,AFP,Essex,418,,0.9,,,2000-11-20T00:00:00.000
5,AFP,Essex,420,,4.15,,,2000-11-20T00:00:00.000
5,PFR,Essex,218.17,Ausable River,0.055,,0.392,2000-11-27T00:00:00.000
3,PLB,Westchester,10,Montrose Site,51.4,,,2000-11-27T00:00:00.000
1,PB,Suffolk,98.037,Manorville Pine Barrens,1.22,,,2000-11-28T00:00:00.000
1,PB,Suffolk,98.152,Manorville Pine Barrens,2.08,,,2000-11-28T00:00:00.000
5,AFP,Washington,53.03,White,58,,,2000-11-30T00:00:00.000
1,PB,Suffolk,111.01B,,164.8,,,2000-11-30T00:00:00.000
3,PFR,Ulster,187.06,West Branch Beerkill,,,0.355,2000-12-01T00:00:00.000
1,PB,Suffolk,98.011,Manorville Pine Barrens,0.92,,,2000-12-15T00:00:00.000
9,PLA,Erie,32,Pine Hill Ebp,,3.24,,2000-12-18T00:00:00.000
3,WSP,Westchester,13,Turkey Mountain,-215,,,2000-12-20T00:00:00.000
7,PFR,Cortland,71.01,Tioghnioga River,0.85,,1.349,2000-12-26T00:00:00.000
5,AFP/AFE,Hamilton,299.03,Bluff Point,,34,,2000-12-27T00:00:00.000
2,TWL,Richmond,009.01B,Mt Loretto,55.707,,,2001-01-08T00:00:00.000
7,TR,Chenango,120.11,Magistro,0.5,,,2001-01-11T00:00:00.000
1,PB,Suffolk,108.09B,Long Island Pine Barrens,0.8,,,2001-01-12T00:00:00.000
5,AFP,Franklin,232.01,Bartlett Carry,286,,,2001-01-22T00:00:00.000
5,AFP,Franklin,232.02,Bartlett Carry,488,,,2001-01-22T00:00:00.000
5,AFP,Franklin,232.03,Bartlett Carry,,216,,2001-01-22T00:00:00.000
7,TR,Chenango,120.04,Genny Green Trail,0.45,,,2001-01-31T00:00:00.000
8,TWA,Monroe,31,Burger Park,68,,,2001-02-09T00:00:00.000
9,PFR,Wyoming,15.05,Cattaraugus Creek,,,0.308,2001-02-12T00:00:00.000
4,PFR,Delaware,47.05,Beaverkill,1.54,,,2001-02-13T00:00:00.000
7,TR,Chenango,120.1,Sra Chenango 36,19,,,2001-02-22T00:00:00.000
5,AFP,Essex,427,Adirondack Forest Preserve,45.5,,,2001-03-19T00:00:00.000
4,WSP,Delaware,175.03,Weiss Property,45.57,,,2001-03-21T00:00:00.000
3,PFR,Ulster,187.07,West Branch Beerkill,,,0.24,2001-03-23T00:00:00.000
6,WA,St Lawrence,160.01,Sucker Lake,86,,,2001-03-29T00:00:00.000
6,WA,St Lawrence,160.02,Sucker Lake,,210,,2001-03-29T00:00:00.000
7,PLA,Madison,084A,,0.49,,,2001-04-11T00:00:00.000
7,UA,Madison,63.018,Madison County,6,,,2001-04-11T00:00:00.000
9,FWL,Chautauqua,60.08,Alder Bottom Wetlands,49.989,,,2001-04-27T00:00:00.000
3,PFR,Sullivan,73.35,Neversink River,,,0.045,2001-05-02T00:00:00.000
1,PB,Suffolk,98.16,Manorville Pine Barrens,0.04,,,2001-05-04T00:00:00.000
1,PB,Suffolk,98.101,Manorville Pine Barrens,0.92,,,2001-05-08T00:00:00.000
4,FWL,Schoharie,39.22,Franklinton Vlaie,0,,,2001-05-09T00:00:00.000
4,FWL,Schoharie,39.25,Franklinton Vlaie,0.38,,,2001-05-09T00:00:00.000
8,PFR,Orleans,009.07A,Marsh Creek,,,,2001-05-10T00:00:00.000
5,WA,Saratoga,46,Hudson River Bls,3.14,,,2001-05-18T00:00:00.000
8,PFR,Orleans,6.01,Johnson Creek,,,0.323,2001-05-24T00:00:00.000
4,UA,Albany,016.038A,Ice Age,,,,2001-05-24T00:00:00.000
3,TWA,Westchester,18,Kolping Society,,50.112,,2001-05-29T00:00:00.000
6,AC,St Lawrence,216.08,Sra St. Lawrence 9,1,,,2001-05-30T00:00:00.000
4,SCR,Greene,142.02,Bear Pen Mountain,499.7,,,2001-06-05T00:00:00.000
1,PB,Suffolk,098.012A,Manorville Pine Barrens,0.92,,,2001-06-06T00:00:00.000
1,PB,Suffolk,098.012B,Manorville Pine Barrens,0.92,,,2001-06-06T00:00:00.000
4,TR,Greene,161.03,Greene Sra #2,73,,,2001-06-08T00:00:00.000
4,TR,Greene,161.05,Greene Sra #2,110,,,2001-06-08T00:00:00.000
4,TR,Greene,161.04,Greene Sra #2,145.43,,,2001-06-08T00:00:00.000
6,AC,St Lawrence,216.01A,Sra St. Lawrence 9,1,,,2001-06-11T00:00:00.000
3,E-UC,Ulster,252.01,Minnewaska North,451.89,,,2001-06-12T00:00:00.000
4,TR,Greene,161.01,Greene Sra #2,54.09,,,2001-06-18T00:00:00.000
6,AFP/AFE,St Lawrence,236.02,Raquette River Corridor,2695,,,2001-06-19T00:00:00.000
6,PLC,St Lawrence,237.02,Racquette River,,6823,,2001-06-19T00:00:00.000
7,PFR,Cortland,71.03,Tioghnioga River,,,0.037,2001-06-19T00:00:00.000
3,CFP,Ulster,276.02,Bluestone Wildforest,3.5,,,2001-06-22T00:00:00.000
7,PLA,Madison,85,Sra Madison 7,20.52,,,2001-06-25T00:00:00.000
3,PFR,Sullivan,106.03,Pine Kill,,,0.072,2001-06-27T00:00:00.000
7,FWL,Oswego,103,Three Mile Bay Wma,120,,,2001-07-12T00:00:00.000
4,PFR,Delaware,106.24,Delaware River - East Branch,,,0.22,2001-08-02T00:00:00.000
3,PFR,Sullivan,034.34A,N Br Callicoon Creek,0.143,,,2001-08-08T00:00:00.000
8,PFR,Orleans,7.02,Oak Orchard Creek,2.49,,,2001-08-08T00:00:00.000
4,FWL,Albany,6.25,Black Creek Marsh,66.023,,,2001-08-20T00:00:00.000
4,TR,Greene,161.02,Sra Greene #2,37.56,,,2001-09-19T00:00:00.000
4,PLB,Albany,25.02,Five Rivers Ed. Center,49.713,,,2001-09-19T00:00:00.000
4,CFP,Delaware,174.02,Barnhart Farm,23.73,,,2001-10-02T00:00:00.000
4,CFP,Delaware,174.01,White Pine Farm (lots),88.13,,,2001-10-02T00:00:00.000
3,WSP,Westchester,19,Nys Res - East  Of Hudson,58.278,,,2001-10-03T00:00:00.000
6,PFR,Jefferson,76.14,Skinner Creek,,,0.434,2001-10-15T00:00:00.000
7,UA,Madison,63.091,Mcevers,10,,,2001-10-18T00:00:00.000
7,PFR,Cortland,71.04,Tioghnioga River,,,0.144,2001-10-26T00:00:00.000
6,AC,St Lawrence,245,Sra St. Lawrence 5,39.13,,,2001-10-30T00:00:00.000
6,AFP,St Lawrence,248.02,Silver Lake,9.8,,,2001-11-01T00:00:00.000
6,AFP,St Lawrence,248.01,Silver Lake,,342,,2001-11-01T00:00:00.000
1,WA,Suffolk,87.02,Bernard Kaplan   Owner,5,,,2001-11-20T00:00:00.000
8,PFR,Chemung,14.23,Cayuta Creek,,,1.27,2001-11-27T00:00:00.000
7,PFR,Onondaga,30.1,Ninemile Creek,0.25,,,2001-12-03T00:00:00.000
9,PL,Erie,31.02,Hampton Brook Woods,55.1,,,2001-12-18T00:00:00.000
8,PL,Livingston,42.01,Gary Russell Gift,155.14,,,2001-12-20T00:00:00.000
6,AFP,St Lawrence,248.03,Silver Lake,,26,,2001-12-20T00:00:00.000
5,AFP,Franklin,232.04,Bartlett Carry,,19.259,,2001-12-26T00:00:00.000
6,AFP,Herkimer,18.01,,32.2,,,2001-12-27T00:00:00.000
6,UC,Jefferson,116.03,Reicher,0.8,,,2002-01-09T00:00:00.000
4,PLC,Schoharie,58,Sra Schoharie 7,229.85,,,2002-01-10T00:00:00.000
5,AFP,Essex,424,Tueber,33.5,,,2002-01-22T00:00:00.000
8,PFR,Chemung,14.24,Cayuta Creek,,,0.341,2002-01-24T00:00:00.000
5,AFP,Essex,428,Fowler Parcel,449,,,2002-02-04T00:00:00.000
7,PLA,Madison,084B,Sra Madison 4,4.29,,,2002-02-06T00:00:00.000
7,PLC,Tompkins,47,Sra Tompkins 5,13.5,,,2002-02-06T00:00:00.000
1,WA,Suffolk,87.03,Lone Star Industries,4.8,,,2002-02-21T00:00:00.000
8,PFR,Chemung,14.27,Cayuta Creek,,,0.649,2002-02-25T00:00:00.000
8,PFR,Schuyler,27.05,Cayuta Creek,,,1.563,2002-02-27T00:00:00.000
9,PFR,Allegany,62.04,California Brook,,,0.51,2002-03-01T00:00:00.000
2,TWL,Richmond,009.01C,Mt Loretto,66.565,,,2002-03-07T00:00:00.000
1,PB,Suffolk,98.065,Manorville Pine Barrens,0.46,,,2002-03-13T00:00:00.000
2,E-TR,Bronx,1.014,Bronx River Trailway,0.16,,,2002-03-28T00:00:00.000
7,TR,Madison,83.01,Lanphear,53.04,,,2002-04-02T00:00:00.000
4,PLB,Albany,25.04,Five Rivers Education Center,6.067,,,2002-04-03T00:00:00.000
4,PLB,Albany,25.03,Tate (utility Easement),,,,2002-04-12T00:00:00.000
3,WSP,Westchester,23,Albert Property,269.7,,,2002-04-16T00:00:00.000
8,PFR,Chemung,14.08,Cayuta Creek,,,0.12,2002-04-17T00:00:00.000
6,WA,Jefferson,142,Lake Ontario,13.2,,,2002-04-23T00:00:00.000
9,WA,Erie,31.03,Hampton Brook,0.68,,,2002-05-02T00:00:00.000
7,PFR,Onondaga,030.09A&B,Ninemile Creek,,,1.798,2002-05-09T00:00:00.000
1,PB,Suffolk,98.111,Manorville Pine Barrens,0.92,,,2002-05-17T00:00:00.000
9,TR,Allegany,58.03,Genesee Valley,,,,2002-05-17T00:00:00.000
5,SLP,Washington,74,Hoell/mill Bay,173,,,2002-05-28T00:00:00.000
1,PB,Suffolk,106.03,Barnet / Sunset Developers,29.29,,,2002-05-30T00:00:00.000
8,PFR,Chemung,14.28,Cayuta Creek,,,0.034,2002-06-14T00:00:00.000
3,CFP,Sullivan,115,Sekelsky Parcel,50.06,,,2002-06-20T00:00:00.000
5,AFP,Washington,67,Lake Champlain Narrows,70,,,2002-06-25T00:00:00.000
1,WA,Suffolk,87.01,Sam Allan  Contact,1.7,,,2002-07-08T00:00:00.000
7,PLB,Oswego,26.29,Porter,26.22,,,2002-07-15T00:00:00.000
7,PLB,Oswego,026.04A,Calli,84.05,,,2002-07-15T00:00:00.000
1,PB,Suffolk,94.1,Brookhaven Kettleholes,0.06,,,2002-07-16T00:00:00.000
4,UA,Albany,16.038,Albany Pine Bush,45.83,,,2002-07-18T00:00:00.000
8,FWL,Wayne,33.227,Northern Montezuma,10.6,,,2002-07-25T00:00:00.000
8,FWL,Wayne,33.208,Northern Montezuma,22.2,,,2002-07-25T00:00:00.000
8,FWL,Wayne,33.21,Northern Montezuma,39.07,,,2002-07-25T00:00:00.000
8,FWL,Wayne,33.068,Northern Montezuma,45.12,,,2002-07-25T00:00:00.000
6,PLA,St Lawrence,258,Add Sra #7,54,,,2002-08-01T00:00:00.000
6,EX,St Lawrence,044.153A,Corning Exchange,98.782,,,2002-08-12T00:00:00.000
3,PFR,Dutchess,8.016,Wappinger Creek,9.87,,,2002-08-13T00:00:00.000
3,PFR,Sullivan,106.04,Pine Kill,,,0.083,2002-08-20T00:00:00.000
7,TR,Chenango,120.14,Genny Green Trail,21.62,,,2002-08-23T00:00:00.000
8,FWL,Wayne,33.231,Northern Montezuma,31.24,,,2002-08-25T00:00:00.000
6,AFP/AFE,St Lawrence,236.03,Jordan Club Easement,,,,2002-09-16T00:00:00.000
5,AFP,Washington,73,Sears,138,,,2002-09-17T00:00:00.000
4,PLC,Schoharie,57,Long Path,123.914,,,2002-09-19T00:00:00.000
3,CFP,Ulster,288,Long Path,55.6,,,2002-09-25T00:00:00.000
4,PFR,Rensselaer,11.19,Little Hoosic River,,,0.18,2002-10-15T00:00:00.000
8,PFR,Steuben,24.03,Mill Creek,0.09,,0.625,2002-10-17T00:00:00.000
5,WH,Saratoga,47,,34.37,,,2002-10-17T00:00:00.000
1,PB,Suffolk,110.02,Long Island Pine Barrens,0.68,,,2002-10-21T00:00:00.000
1,PB,Suffolk,101.15,Dwarf Pine Plains East,4.04,,,2002-10-21T00:00:00.000
7,TR,Chenango,120.15,Genny Green Trail,56,,,2002-10-21T00:00:00.000
1,PB,Suffolk,97.09,Peconic East,30.6,,,2002-10-24T00:00:00.000
1,PB,Suffolk,97.1,Peconic East,57,,,2002-10-24T00:00:00.000
1,PB,Suffolk,109.03,Otis Pike Reserve,1.203,,,2002-10-30T00:00:00.000
7,PLC,Chenango,100,Sra Chenango 15  And 9,157,,,2002-10-31T00:00:00.000
5,AFP,Essex,429.01,,,16.79,,2002-11-06T00:00:00.000
5,AFP,Essex,429.05,,,48.07,,2002-11-06T00:00:00.000
5,AFP,Essex,429.03,,,61.5,,2002-11-06T00:00:00.000
5,AFP,Essex,429.04,,,72.8,,2002-11-06T00:00:00.000
5,AFP,Essex,429.02,,,174.39,,2002-11-06T00:00:00.000
6,UA,Oneida,124.49,Rome Sand Plains,14.81,,,2002-12-03T00:00:00.000
6,PFR,St Lawrence,255.01,Grasse River,,,0.304,2002-12-04T00:00:00.000
7,TR,Chenango,120.03,Genny Green Trail,10,,,2002-12-06T00:00:00.000
8,PFR,Steuben,22.16,Cohocton River,,,0.361,2002-12-10T00:00:00.000
7,PLB,Oswego,026.03A,Peterson,45,,,2002-12-11T00:00:00.000
4,UA,Albany,16.04,Albany Pine Bush,6.625,,,2002-12-12T00:00:00.000
5,AFP,Hamilton,300,Cedarlands Scout Camp,,4868,,2002-12-12T00:00:00.000
9,WA,Chautauqua,67,Stow Farm,16.729,,,2002-12-17T00:00:00.000
7,PLB,Oswego,108,Oswego Ref 11,5,,,2002-12-19T00:00:00.000
3,PFR,Ulster,065.6A,Rondout Creek,,,0.071,2002-12-24T00:00:00.000
3,PFR,Ulster,65.06,Rondout Creek,,,,2002-12-24T00:00:00.000
6,PLB,Lewis,145.02,Sears Pond,46,,,2002-12-30T00:00:00.000
4,CFP,Greene,160.04,Catskill Escarpment North,1.5,,,2003-01-08T00:00:00.000
6,PFR,St Lawrence,255.02,Grasse River,,,0.842,2003-02-04T00:00:00.000
7,WA,Chenango,132,Afton Boat Launch Site,3.73,,,2003-02-13T00:00:00.000
5,AFP,Warren,180,,54.31,,,2003-02-13T00:00:00.000
4,PFR,Otsego,23.06,Butternut Creek,3,,,2003-02-25T00:00:00.000
7,WA,Broome,44,Susquehanna River Bls,1.3,,,2003-02-26T00:00:00.000
9,FWL,Cattaraugus,97.11,Conewango Creek Wetlands,11.8,,,2003-03-05T00:00:00.000
8,PFR,Chemung,14.3,Cayuta Creek,,,0.942,2003-03-05T00:00:00.000
7,PFR,Madison,045.02A&B,Chenango River,0.25,,1.18,2003-03-07T00:00:00.000
7,PFR,Madison,45.01,Chenango River,,,0.663,2003-03-07T00:00:00.000
5,AFP,Essex,436,Moose I. L. Placid,1.7,,,2003-03-25T00:00:00.000
2,TWL,Richmond,14.01,,11.62,,,2003-03-27T00:00:00.000
6,WH,Jefferson,93.05,Point Peninsula Wetlands,970.8,,,2003-04-01T00:00:00.000
6,PFR,Herkimer,077.05A,West Canada Creek,0.23,,0.323,2003-04-04T00:00:00.000
9,PFR,Cattaraugus,21.02,Mansfield Creek,0.21,,,2003-04-17T00:00:00.000
3,TWA,Dutchess,61,Stony Kill Eec,11.843,,,2003-04-23T00:00:00.000
6,PFR,Jefferson,073B.02,Black River,,,0.257,2003-05-13T00:00:00.000
8,PFR,Chemung,7.01,Sleeper Creek,,,0.142,2003-05-19T00:00:00.000
8,PFR,Chemung,6.045,Catharine Creek,,,0.62,2003-05-19T00:00:00.000
3,WSP,Westchester,24,Michaels Property,-143.64,,,2003-05-28T00:00:00.000
5,AFP,Franklin,238,,165,,,2003-05-30T00:00:00.000
7,TOJ,Onondaga,57,Cicero Swamp Wma,190.41,,,2003-06-03T00:00:00.000
6,PFR,Oneida,80.01,Black River,0.05,,,2003-06-06T00:00:00.000
6,UA,Oneida,124.54,Rome Sand Plains,0.75,,,2003-06-10T00:00:00.000
8,PL,Ontario,36.05,Lincoln Farm,4.44,,,2003-06-16T00:00:00.000
7,PFR,Madison,045.03A,Chenango River,0.23,,,2003-06-18T00:00:00.000
7,PFR,Madison,045.03B,Chenango River,,,0.446,2003-06-18T00:00:00.000
8,PL,Ontario,36.11,Lincoln Farm,1,,,2003-06-19T00:00:00.000
8,PL,Livingston,36.03,Lincoln Farm,2.38,,,2003-06-19T00:00:00.000
8,PL,Ontario,36.08,Lincoln Farm,47.53,,,2003-06-19T00:00:00.000
8,PL,Ontario,36.07,Lincoln Farm,52.65,,,2003-06-19T00:00:00.000
8,PL,Ontario,36.06,Lincoln Farm,61.9,,,2003-06-19T00:00:00.000
8,PL,Ontario,36.09,Lincoln Farm,91.98,,,2003-06-19T00:00:00.000
8,PL,Ontario,36.1,Lincoln Farm,161.91,,,2003-06-19T00:00:00.000
8,PL,Ontario,36.01,Honeoye Inlet,662.35,,,2003-06-19T00:00:00.000
8,PL,Livingston,42.03,Mudville Wma,32.712,,,2003-06-20T00:00:00.000
7,FWL,Oswego,74.01,Peter Scott Swamp,251.126,,,2003-06-20T00:00:00.000
4,PFR,Rensselaer,23.03,Poestenkill,,,0.13,2003-06-24T00:00:00.000
4,PFR,Delaware,30.12,Delaware River - West Branch,,,0.635,2003-07-03T00:00:00.000
9,FWL,Chautauqua,56.1,Stimson,48.7,,,2003-07-11T00:00:00.000
8,TOJ,Seneca,12,Willard Wma,3.06,,,2003-07-22T00:00:00.000
5,AFP,Warren,184,International Paper,80.42,,,2003-07-28T00:00:00.000
6,PFR,Jefferson,72.03,Felts Mills Creek,0.23,,,2003-08-04T00:00:00.000
9,FWL,Cattaraugus,97.1,Conewango Creek Wetlands,14,,,2003-08-13T00:00:00.000
9,PFR,Wyoming,10.19,Wiscoy Creek,0.09,,,2003-08-14T00:00:00.000
4,CFP,Greene,104.03,Peck Hollow,187.53,,,2003-08-18T00:00:00.000
3,SP,Orange,27,Moodna Creek,4.4,,,2003-08-26T00:00:00.000
7,UA,Madison,63.97,Madison County,5,,,2003-09-05T00:00:00.000
4,PFR,Albany,11.11,Catskill Creek,0.08,,,2003-09-15T00:00:00.000
3,PLC,Ulster,249.08,Coast Guard,8.2,,,2003-09-25T00:00:00.000
8,FWL,Monroe,32,Dahlheim,71.612,,,2003-10-01T00:00:00.000
8,PL,Ontario,36.12,,885.89,,,2003-10-08T00:00:00.000
8,PL,Livingston,43.01,Honeoye Inlet,,,,2003-10-08T00:00:00.000
6,AFP,Herkimer,167.1,Minnehaha,333,,,2003-10-27T00:00:00.000
6,AFP,Herkimer,167.2,Minnehaha,,511.693,,2003-10-27T00:00:00.000
6,PFR,Jefferson,99.16,North Sandy Creek,5,,,2003-10-29T00:00:00.000
7,PLC,Oswego,104,Sra Oswego 14,168.805,,,2003-11-07T00:00:00.000
3,PFR,Sullivan,40.27,Willowemoc,,,0.052,2003-11-17T00:00:00.000
4,PFR,Schoharie,66.01,Schoharie Creek,1.78,,,2003-11-18T00:00:00.000
8,PLA,Steuben,64,Helmer Creek Wma,0.83,,,2003-12-05T00:00:00.000
8,PLC,Yates,025.16B,Hi Tor Wma,4.8,,,2003-12-05T00:00:00.000
7,SLP,Oswego,94.07,Eastern Ontario Shoreline,0,,,2003-12-10T00:00:00.000
7,TR,Chenango,120.16,King Family Trust,25,,,2003-12-10T00:00:00.000
9,PFR,Erie,10.05,Eighteen Mile Creek,,,0.057,2003-12-11T00:00:00.000
3,TR,Sullivan,118.2,Konstantinoff,370,,,2003-12-16T00:00:00.000
5,AFP,Essex,434,Placid Lake Foundation,39.8,,,2003-12-30T00:00:00.000
9,PL,Allegany,66.03,Gary Russell,236.259,,,2003-12-30T00:00:00.000
5,AFP,Franklin,242,,21.5,,,2004-01-07T00:00:00.000
1,PB,Suffolk,101.17,Dwarf Pine Plains East,1.1,,,2004-01-30T00:00:00.000
1,PB,Suffolk,101.18,Dwarf Pine Plains East,2.5,,,2004-01-30T00:00:00.000
4,PFR,Albany,11.12,Catskill Creek,0.87,,,2004-02-02T00:00:00.000
1,PB,Suffolk,101.22,Dwarf Pine Plains East,1.7,,,2004-02-02T00:00:00.000
1,PB,Suffolk,101.23,Dwarf Pine Plains East,1.8,,,2004-02-02T00:00:00.000
1,PB,Suffolk,101.24,Dwarf Pine Plains East,2.8,,,2004-02-02T00:00:00.000
7,UA,Madison,63.96,Kidder,10,,,2004-02-03T00:00:00.000
1,ARA,Nassau,5,Underhill,25,,,2004-02-05T00:00:00.000
1,PB,Suffolk,101.21,Dwarf Pine Plains East,1.8,,,2004-02-06T00:00:00.000
1,PB,Suffolk,101.19,Dwarf Pine Plains East,1.9,,,2004-02-06T00:00:00.000
1,PB,Suffolk,101.2,Dwarf Pine Plains East,1.9,,,2004-02-06T00:00:00.000
1,PB,Suffolk,101.16,Dwarf Pine Plains East,6.5,,,2004-02-10T00:00:00.000
9,PLB,Erie,13.05,Stone House,4.74,,,2004-02-18T00:00:00.000
3,TR,Sullivan,118.3,Stutzmann,151.49,,,2004-02-18T00:00:00.000
6,UA,Oneida,124.3,Rome Sand Plains,65,,,2004-02-24T00:00:00.000
1,PB,Suffolk,101.09,Dwarf Pine Plains East,38.291,,,2004-03-02T00:00:00.000
8,FWL,Wayne,33.12,Northern Montezema,19.96,,,2004-03-05T00:00:00.000
4,PLC,Albany,28.01,Louise Keir Wma,58.07,,,2004-03-09T00:00:00.000
7,PLC,Tompkins,50,"Wagner  Millwork, Inc.",33.48,,,2004-03-15T00:00:00.000
3,TR,Sullivan,118.1,"Howell,trustee",167.28,,,2004-03-18T00:00:00.000
6,PLC,Lewis,171.02,Milton J. Baker,115.4,,,2004-03-22T00:00:00.000
9,EX,Cattaraugus,109.02,Holiday Valley Land Exchange,46.74,,,2004-03-29T00:00:00.000
9,EX,Cattaraugus,109.01,Holiday Valley Land Exchange,224.52,,,2004-03-29T00:00:00.000
7,PLB,Oswego,026.04B,Hare,5,,,2004-03-31T00:00:00.000
7,TR,Madison,83.03,Cottrell,90.74,,,2004-04-19T00:00:00.000
3,WH,Sullivan,121,Bashakill,1.27,,,2004-04-20T00:00:00.000
6,PLC,Oneida,98.02,At&t Surplus Lot,0.25,,,2004-05-05T00:00:00.000
9,PLA,Allegany,68,Turnpike State Forest,3.306,,,2004-05-21T00:00:00.000
