,cmplnt_num,cmplnt_fr_dt,cmplnt_fr_tm,addr_pct_cd,rpt_dt,ky_cd,ofns_desc,pd_cd,pd_desc,crm_atpt_cptd_cd,law_cat_cd,boro_nm,loc_of_occur_desc,prem_typ_desc,juris_desc,jurisdiction_code,hadevelopt,housing_psa,x_coord_cd,y_coord_cd,susp_age_group,susp_race,susp_sex,latitude,longitude,lat_lon,patrol_boro,vic_age_group,vic_race,vic_sex,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,cmplnt_to_dt,cmplnt_to_tm,parks_nm,transit_district,station_name
499,588816690,2017-04-22T00:00:00.000,20:50:00,46,2017-04-23T00:00:00.000,109,GRAND LARCENY,404.0,"LARCENY,GRAND FROM PERSON,PERSONAL ELECTRONIC DEVICE(SNATCH)",COMPLETED,FELONY,BRONX,,TRANSIT - NYC SUBWAY,N.Y. TRANSIT POLICE,1.0,,NA,1009886.0,250359.0,18-24,BLACK,M,40.853823567,-73.907332598,"{'latitude': '40.853823567', 'longitude': '-73.907332598'}",PATROL BORO BRONX,25-44,ASIAN / PACIFIC ISLANDER,M,10931.0,6.0,5.0,29.0,29.0,2017-04-22T00:00:00.000,20:51:00,,11.0,BURNSIDE AVENUE
500,737648659,2015-06-26T00:00:00.000,07:50:00,30,2015-06-26T00:00:00.000,578,HARRASSMENT 2,638.0,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,MANHATTAN,FRONT OF,OTHER,N.Y. POLICE DEPT,0.0,,NA,1000737.0,241071.0,,BLACK,F,40.828352541,-73.940427166,"{'latitude': '40.828352541', 'longitude': '-73.940427166'}",PATROL BORO MAN NORTH,65+,BLACK,F,12428.0,37.0,4.0,36.0,19.0,2015-06-26T00:00:00.000,07:53:00,,,
501,729007066,2017-11-27T00:00:00.000,19:00:00,115,2017-11-28T00:00:00.000,351,CRIMINAL MISCHIEF & RELATED OF,254.0,"MISCHIEF, CRIMINAL 4, OF MOTOR",COMPLETED,MISDEMEANOR,QUEENS,OPPOSITE OF,STREET,N.Y. POLICE DEPT,0.0,,NA,1020198.0,213881.0,,,,40.753665618,-73.870252195,"{'latitude': '40.753665618', 'longitude': '-73.870252195'}",PATROL BORO QUEENS NORTH,45-64,WHITE HISPANIC,F,14510.0,65.0,3.0,21.0,73.0,2017-11-28T00:00:00.000,07:00:00,,,
502,995360651,2017-04-25T00:00:00.000,14:25:00,111,2017-04-26T00:00:00.000,578,HARRASSMENT 2,638.0,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,QUEENS,INSIDE,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0.0,,NA,1047910.0,215985.0,,,,40.759284456,-73.770210063,"{'latitude': '40.759284456', 'longitude': '-73.770210063'}",PATROL BORO QUEENS NORTH,18-24,WHITE HISPANIC,F,14196.0,26.0,3.0,20.0,69.0,2017-04-25T00:00:00.000,16:30:00,,,
503,125555725,2011-01-08T00:00:00.000,18:53:00,68,2011-01-08T00:00:00.000,341,PETIT LARCENY,338.0,"LARCENY,PETIT FROM BUILDING,UN",COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0.0,,NA,977483.0,169719.0,,,,40.632521623,-74.024381631,"{'latitude': '40.632521623', 'longitude': '-74.024381631'}",PATROL BORO BKLYN SOUTH,25-44,WHITE,M,17216.0,10.0,2.0,44.0,41.0,2011-01-08T00:00:00.000,19:07:00,NA,,
504,422482275,2015-10-20T00:00:00.000,18:00:00,10,2015-10-20T00:00:00.000,109,GRAND LARCENY,443.0,"LARCENY,GRAND OF BICYCLE",COMPLETED,FELONY,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0.0,,NA,984352.0,210232.0,,,,40.743723098,-73.999633348,"{'latitude': '40.743723098', 'longitude': '-73.999633348'}",PATROL BORO MAN SOUTH,UNKNOWN,UNKNOWN,M,12074.0,12.0,4.0,10.0,6.0,2015-10-20T00:00:00.000,18:55:00,,,
505,229854035,2015-12-04T00:00:00.000,15:30:00,19,2015-12-04T00:00:00.000,341,PETIT LARCENY,338.0,"LARCENY,PETIT FROM BUILDING,UN",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESTAURANT/DINER,N.Y. POLICE DEPT,0.0,,NA,997955.0,224759.0,UNKNOWN,BLACK,U,40.783585352,-73.950512966,"{'latitude': '40.783585352', 'longitude': '-73.950512966'}",PATROL BORO MAN NORTH,UNKNOWN,UNKNOWN,D,10099.0,23.0,4.0,1.0,11.0,2015-12-04T00:00:00.000,16:00:00,,,
506,973144739,2014-04-02T00:00:00.000,14:20:00,5,2014-04-02T00:00:00.000,578,HARRASSMENT 2,637.0,"HARASSMENT,SUBD 1,CIVILIAN",COMPLETED,VIOLATION,MANHATTAN,INSIDE,RESTAURANT/DINER,N.Y. POLICE DEPT,0.0,,NA,985362.0,202561.0,,WHITE,M,40.722668016,-73.995989707,"{'latitude': '40.722668016', 'longitude': '-73.995989707'}",PATROL BORO MAN SOUTH,25-44,WHITE,M,12075.0,57.0,4.0,32.0,2.0,2014-04-02T00:00:00.000,14:25:00,,,
507,645436188,2016-04-27T00:00:00.000,18:00:00,9,2016-04-27T00:00:00.000,341,PETIT LARCENY,338.0,"LARCENY,PETIT FROM BUILDING,UN",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,COMMERCIAL BUILDING,N.Y. POLICE DEPT,0.0,,NA,987470.0,205834.0,,,,40.73165109,-73.988383154,"{'latitude': '40.73165109', 'longitude': '-73.988383154'}",PATROL BORO MAN SOUTH,18-24,WHITE,M,11724.0,70.0,4.0,50.0,5.0,2016-04-27T00:00:00.000,18:30:00,,,
508,482646412,2015-09-04T00:00:00.000,12:40:00,103,2015-09-04T00:00:00.000,104,RAPE,153.0,RAPE 3,COMPLETED,FELONY,QUEENS,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2.0,,33201,1041749.0,196938.0,,,,40.707047475,-73.792611904,"{'latitude': '40.707047475', 'longitude': '-73.792611904'}",PATROL BORO QUEENS SOUTH,<18,UNKNOWN,F,24340.0,41.0,3.0,6.0,61.0,2015-09-04T00:00:00.000,12:40:00,,,
509,648346745,2015-12-04T00:00:00.000,11:10:00,47,2015-12-04T00:00:00.000,678,MISCELLANEOUS PENAL LAW,477.0,THEFT OF SERVICES- CABLE TV SE,COMPLETED,VIOLATION,BRONX,INSIDE,DRY CLEANER/LAUNDRY,N.Y. POLICE DEPT,0.0,,NA,1024746.0,259111.0,UNKNOWN,BLACK,M,40.877789471,-73.853563955,"{'latitude': '40.877789471', 'longitude': '-73.853563955'}",PATROL BORO BRONX,UNKNOWN,UNKNOWN,D,11607.0,29.0,5.0,2.0,30.0,2015-12-04T00:00:00.000,11:15:00,,,
510,138768197,2017-07-25T00:00:00.000,12:00:00,111,2017-07-29T00:00:00.000,109,GRAND LARCENY,402.0,"LARCENY,GRAND BY FALSE PROMISE-NOT IN PERSON CONTACT",COMPLETED,FELONY,QUEENS,INSIDE,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0.0,,NA,1044670.0,213728.0,UNKNOWN,UNKNOWN,U,40.75311232,-73.781925615,"{'latitude': '40.75311232', 'longitude': '-73.781925615'}",PATROL BORO QUEENS NORTH,UNKNOWN,UNKNOWN,F,14193.0,26.0,3.0,20.0,69.0,2017-07-29T00:00:00.000,09:18:00,,,
511,865233544,2012-02-10T00:00:00.000,14:40:00,46,2012-02-10T00:00:00.000,109,GRAND LARCENY,438.0,"LARCENY,GRAND FROM BUILDING (NON-RESIDENCE) UNATTENDED",COMPLETED,FELONY,BRONX,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0.0,,NA,1009921.0,249702.0,,,,40.852020197,-73.907208595,"{'latitude': '40.852020197', 'longitude': '-73.907208595'}",PATROL BORO BRONX,<18,BLACK HISPANIC,F,10931.0,6.0,5.0,29.0,29.0,2012-02-10T00:00:00.000,14:40:00,NA,,
512,256973308,2015-09-21T00:00:00.000,23:29:00,23,2015-09-26T00:00:00.000,578,HARRASSMENT 2,638.0,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0.0,,NA,1001171.0,227550.0,UNKNOWN,UNKNOWN,F,40.791240328,-73.938893028,"{'latitude': '40.791240328', 'longitude': '-73.938893028'}",PATROL BORO MAN NORTH,25-44,WHITE HISPANIC,M,12426.0,7.0,4.0,35.0,14.0,2015-09-21T00:00:00.000,23:45:00,,,
513,732724252,2012-09-01T00:00:00.000,02:00:00,69,2012-09-01T00:00:00.000,361,OFF. AGNST PUB ORD SENSBLTY &,639.0,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0.0,,NA,1008090.0,173144.0,,BLACK,M,40.641893023,-73.914098468,"{'latitude': '40.641893023', 'longitude': '-73.914098468'}",PATROL BORO BKLYN SOUTH,25-44,BLACK,F,13827.0,5.0,2.0,8.0,42.0,2012-09-01T00:00:00.000,05:39:00,NA,,
